City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,burao,9.5221,45.5336,83.12,42,40,27.65,SO,1722765021
273,nabire,-3.3667,135.4833,78.48,89,99,1.72,ID,1722765022
274,mormugao,15.4,73.8,83.46,79,75,14.97,IN,1722765023
275,watsa,3.0372,29.5355,80.73,57,61,4.45,CD,1722765024
276,porbandar,21.6422,69.6093,84.18,84,100,16.11,IN,1722765026
277,vorgashor,67.5833,63.95,64.38,52,70,12.57,RU,1722765027
278,san antonio,29.4241,-98.4936,82.51,75,0,4.61,US,1722764781
279,uturoa,-16.7333,-151.4333,76.06,74,100,16.93,PF,1722765029
280,guercif,34.2257,-3.3536,90.88,23,1,6.53,MA,1722765031
281,bilecik,40.0,30.1667,86.68,21,0,9.53,TR,1722765032
282,senanga,-16.1167,23.2667,90.05,11,3,4.41,ZM,1722765033
283,laguna,38.421,-121.4238,78.4,51,0,5.75,US,1722765034
284,gadzhiyevo,69.2551,33.3362,59.77,66,6,13.22,RU,1722765036
285,pacific grove,36.6177,-121.9166,58.87,97,100,14.0,US,1722765037
286,quellon,-43.1167,-73.6167,45.16,95,100,5.97,CL,1722765038
287,island harbour,50.724,-1.2758,68.18,74,99,3.0,GB,1722765039
288,hammerfest,70.6634,23.6821,72.05,43,0,6.91,NO,1722765041
289,salalah,17.0151,54.0924,84.29,79,75,5.75,OM,1722764882
290,byron bay,-28.65,153.6167,58.71,75,94,4.61,AU,1722765044
291,sumbawa besar,-8.5,117.4333,81.46,58,61,3.96,ID,1722765046
292,iguape,-24.7081,-47.5553,63.99,83,3,4.99,BR,1722764811
293,newman,37.3138,-121.0208,80.83,39,0,5.53,US,1722765048
294,jalgaon jamod,21.0486,76.5344,76.1,93,100,13.38,IN,1722765049
295,sungai penuh,-2.0833,101.3833,70.27,95,93,1.21,ID,1722765051
296,bubaque,11.2833,-15.8333,78.49,87,100,16.53,GW,1722765052
297,i-n-salah,27.1935,2.4607,107.85,6,2,5.82,DZ,1722765053
298,zahirabad,17.6833,77.6167,77.85,78,100,16.31,IN,1722765054
299,hilo,19.7297,-155.09,73.13,99,100,5.75,US,1722765055
300,bhan,26.5583,67.7214,91.53,56,100,7.29,PK,1722765057
301,chandler,33.3062,-111.8412,95.59,36,0,9.22,US,1722765058
302,constantia,44.1833,28.65,84.88,56,38,13.89,RO,1722765059
303,cobija,-11.0267,-68.7692,70.93,75,0,2.33,BO,1722765060
304,amga,60.8953,131.9608,64.18,53,98,5.57,RU,1722765063
305,nafada,11.0956,11.3327,84.15,62,95,13.27,NG,1722765064
306,susuman,62.7833,148.1667,56.79,46,95,3.04,RU,1722765065
307,taksimo,56.3444,114.8794,62.28,77,100,2.82,RU,1722765067
308,ust-tsilma,65.441,52.1498,61.23,76,100,9.86,RU,1722765068
309,aykhal,66.0,111.5,68.85,38,79,9.44,RU,1722765021
310,glubokoye,50.1456,82.3114,83.95,34,20,8.95,KZ,1722765070
311,chernyshevskiy,63.0128,112.4714,71.51,37,19,5.95,RU,1722765072
312,erdenet,49.0333,104.0833,72.82,69,16,6.91,MN,1722765073
313,fale old settlement,-9.3852,-171.2468,81.99,80,76,13.6,TK,1722765074
314,egilsstadir,65.2653,-14.3948,46.31,100,40,9.22,IS,1722765076
315,jiwani,25.05,61.7417,83.75,80,100,13.82,PK,1722765077
316,buellton,34.6136,-120.1927,59.59,100,0,0.0,US,1722765078
317,urucara,-2.5364,-57.76,71.53,70,25,2.42,BR,1722765079
318,sampit,-2.5333,112.95,81.73,71,9,7.74,ID,1722765080
319,shenjiamen,29.9576,122.298,84.07,86,0,9.84,CN,1722765082
320,floro,61.5996,5.0328,58.96,82,100,16.11,NO,1722765083
321,nyurba,63.2842,118.3319,71.96,49,90,4.0,RU,1722765085
322,princeville,45.7668,-61.2985,72.54,95,100,6.91,CA,1722765086
323,brokopondo,4.75,-55.1667,76.37,88,18,8.39,SR,1722765087
